gene
0610005C13Rik
0610007N19Rik
0610007P14Rik
0610009B22Rik
0610009D07Rik
0610009E02Rik
0610009L18Rik
0610009O20Rik
0610010F05Rik
0610010K14Rik
0610011F06Rik
0610030E20Rik
0610031J06Rik
0610037L13Rik
0610039K10Rik
0610040B09Rik
0610040F04Rik
0610040J01Rik
1100001G20Rik
1110001A16Rik
1110001J03Rik
1110002E22Rik
1110002L01Rik
1110004E09Rik
1110004F10Rik
1110006G14Rik
1110007C09Rik
1110008F13Rik
1110008J03Rik
1110008L16Rik
1110008P14Rik
1110012L19Rik
1110017D15Rik
1110019D14Rik
1110020A21Rik
1110028F11Rik
1110032A03Rik
1110034G24Rik
1110036E04Rik
1110037F02Rik
1110038B12Rik
1110038F14Rik
1110046J04Rik
1110051M20Rik
1110054M08Rik
1110057K04Rik
1110058L19Rik
1110059E24Rik
1110059G10Rik
1110065P20Rik
1190002N15Rik
1190005I06Rik
1190007I07Rik
1200014J11Rik
1300002E11Rik
1300002K09Rik
1500002O10Rik
1500009L16Rik
1500011B03Rik
1500011K16Rik
1500012F01Rik
1500017E21Rik
1500026H17Rik
1500035N22Rik
1600002H07Rik
1600002K03Rik
1600010F14Rik
1600012H06Rik
1600014C10Rik
1600016N20Rik
1600020E01Rik
1600029D21Rik
1600029I14Rik
1700001C02Rik
1700001G17Rik
1700001L19Rik
1700003E16Rik
1700003F17Rik
1700003M02Rik
1700006P19Rik
1700007G11Rik
1700007K13Rik
1700008O03Rik
1700009P17Rik
1700010I14Rik
1700011J10Rik
1700012B09Rik
1700012B15Rik
1700013F07Rik
1700013G23Rik
1700016C15Rik
1700016G14Rik
1700016H13Rik
1700016K19Rik
1700017B05Rik
1700018A04Rik
1700019D03Rik
1700019G17Rik
1700019L03Rik
1700020I14Rik
1700021F05Rik
1700021J08Rik
1700021K19Rik
1700022I11Rik
1700023H06Rik
1700023L04Rik
1700024G13Rik
1700024N20Rik
1700025G04Rik
1700026D08Rik
1700026D11Rik
1700026J14Rik
1700026L06Rik
1700028K03Rik
1700028P14Rik
1700029H14Rik
1700029I15Rik
1700029J07Rik
1700030C10Rik
1700030J22Rik
1700030K09Rik
1700034E13Rik
1700037C18Rik
1700037H04Rik
1700039E22Rik
1700040L02Rik
1700041G16Rik
1700049E15Rik
1700049G17Rik
1700052N19Rik
1700055N04Rik
1700056E22Rik
1700056N10Rik
1700061G19Rik
1700064E03Rik
1700066B19Rik
1700066J24Rik
1700066M21Rik
1700071M16Rik
1700084C06Rik
1700084J12Rik
1700086P04Rik
1700088E04Rik
1700093K21Rik
1700094D03Rik
1700095J03Rik
1700101E01Rik
1700101I11Rik
1700102P08Rik
1700109H08Rik
1700112E06Rik
1700112M01Rik
1700113A16Rik
1700123M08Rik
1700123O20Rik
1810009A15Rik
1810010H24Rik
1810011H11Rik
1810011O10Rik
1810012K08Rik
1810013L24Rik
1810014B01Rik
1810019D21Rik
1810019J16Rik
1810020O05Rik
1810021B22Rik
1810022K09Rik
1810024B03Rik
1810026J23Rik
1810030O07Rik
1810032O08Rik
1810033B17Rik
1810034E14Rik
1810037I17Rik
1810043G02Rik
1810043H04Rik
1810046K07Rik
1810055G02Rik
1810058I24Rik
1810058N05Rik
1810059H22Rik
1810062O18Rik
1810063I02Rik
1810064F22Rik
2010001A14Rik
2010001M06Rik
2010002M12Rik
2010003O02Rik
2010005H15Rik
2010007H06Rik
2010012O05Rik
2010012P19Rik
2010013B24Rik
2010015L04Rik
2010016I18Rik
2010107E04Rik
2010107G12Rik
2010107G23Rik
2010109I03Rik
2010111I01Rik
2010204K13Rik
2010300C02Rik
2010300F17Rik
2010315B03Rik
2200002D01Rik
2210008F06Rik
2210013O21Rik
2210016F16Rik
2210016L21Rik
2210017G18Rik
2210018M11Rik
2210404O07Rik
2210404O09Rik
2210408F21Rik
2210408I21Rik
2210417A02Rik
2210417K05Rik
2300005B03Rik
2300009A05Rik
2310001H17Rik
2310002F09Rik
2310003H01Rik
2310007B03Rik
2310007L24Rik
2310009B15Rik
2310010J17Rik
2310011J03Rik
2310015A10Rik
2310015B20Rik
2310022A10Rik
2310022B05Rik
2310030G06Rik
2310031A07Rik
2310033P09Rik
2310035C23Rik
2310036O22Rik
2310039H08Rik
2310040G07Rik
2310044G17Rik
2310045N01Rik
2310047M10Rik
2310050B05Rik
2310057M21Rik
2310058D17Rik
2310061I04Rik
2310067B10Rik
2410002F23Rik
2410004B18Rik
2410004N09Rik
2410004P03Rik
2410006H16Rik
2410015M20Rik
2410016O06Rik
2410018M08Rik
2410066E13Rik
2410076I21Rik
2410089E03Rik
2410131K14Rik
2410133F24Rik
2500002B13Rik
2500004C02Rik
2510002D24Rik
2510003E04Rik
2510009E07Rik
2510016G02Rik
2510039O18Rik
2510046G10Rik
2610001J05Rik
2610002J02Rik
2610002M06Rik
2610008E11Rik
2610015P09Rik
2610018G03Rik
2610019E17Rik
2610020C07Rik
2610020H08Rik
2610021A01Rik
2610028H24Rik
2610034B18Rik
2610035D17Rik
2610037D02Rik
2610044O15Rik8
2610203C22Rik
2610204G22Rik
2610301B20Rik
2610305D13Rik
2610307P16Rik
2610507B11Rik
2610507I01Rik
2610524H06Rik
2610528J11Rik
2700016F22Rik
2700029M09Rik
2700038G22Rik
2700046A07Rik
2700046G09Rik
2700049A03Rik
2700050L05Rik
2700060E02Rik
2700062C07Rik
2700073G19Rik
2700081O15Rik
2700086A05Rik
2700089E24Rik
2700094K13Rik
2700097O09Rik
2810001G20Rik
2810002D19Rik
2810004N23Rik
2810006K23Rik
2810008D09Rik
2810021J22Rik
2810025M15Rik
2810029C07Rik
2810055G20Rik
2810403A07Rik
2810403D21Rik
2810408A11Rik
2810408M09Rik
2810417H13Rik
2810428I15Rik
2810442I21Rik
2810468N07Rik
2810474O19Rik
2900005J15Rik
2900008C10Rik
2900026A02Rik
2900052L18Rik
2900056M20Rik
2900076A07Rik
2900089D17Rik
3010001F23Rik
3010026O09Rik
3110001I22Rik
3110002H16Rik
3110009E18Rik
3110021N24Rik
3110040N11Rik
3110043O21Rik
3110045C21Rik
3110047P20Rik
3110056K07Rik
3110057O12Rik
3110062M04Rik
3110070M22Rik
3110082I17Rik
3110083C13Rik
3222401L13Rik
3300002A11Rik
3300002I08Rik
3425401B19Rik
3632451O06Rik
3830403N18Rik
3830406C13Rik
4430402I18Rik
4631405K08Rik
4632411P08Rik
4632415L05Rik
4632419I22Rik
4632427E13Rik
4632428N05Rik
4731419I09Rik
4732414G09Rik
4732440D04Rik
4732444A12Rik
4732465J04Rik
4831440E17Rik
4833407H14Rik
4833418N02Rik
4833420G17Rik
4833427G06Rik
4833439L19Rik
4921504A21Rik
4921507G05Rik
4921523L03Rik
4921524J17Rik
4921531C22Rik
4921534H16Rik
4921536K21Rik
4922501C03Rik
4922501L14Rik
4930402H24Rik
4930403O15Rik
4930404N11Rik
4930405A21Rik
4930405O22Rik
4930412C18Rik
4930415O20Rik
4930417O22Rik
4930422G04Rik
4930429F24Rik
4930430F08Rik
4930431P03Rik
4930443O20Rik
4930444P10Rik
4930451C15Rik
4930451G09Rik
4930452B06Rik
4930453N24Rik
4930455G09Rik
4930458D05Rik
4930473A02Rik
4930480K23Rik
4930481A15Rik
4930486L24Rik
4930503E14Rik
4930503L19Rik
4930505A04Rik
4930506C21Rik
4930506M07Rik
4930509G22Rik
4930511M11Rik
4930513N10Rik
4930515G01Rik
4930516B21Rik
4930518I15Rik
4930519G04Rik
4930520O04Rik
4930522L14Rik
4930523C07Rik
4930529M08Rik
4930533K18Rik
4930538E20Rik
4930539E08Rik
4930539J05Rik
4930544G11Rik
4930546H06Rik
4930547M16Rik
4930550C14Rik
4930550G17Rik
4930556M19Rik
4930556N08Rik
4930562C15Rik
4930562F07Rik
4930563E22Rik
4930565N06Rik
4930566F21Rik
4930570N19Rik
4930578C19Rik
4930579C12Rik
4930579G18Rik
4930579G24Rik
4930579K19Rik
4930581F22Rik
4930599N23Rik
4931403E22Rik
4931406B18Rik
4931406C07Rik
4931406P16Rik
4931414P19Rik
4931415C17Rik
4931428F04Rik
4931429I11Rik
4931431C16Rik
4931440J10Rik
4931440P22Rik
4932411E22Rik
4932418E24Rik
4932427H20Rik
4932431P20Rik
4932438A13Rik
4932443I19Rik
4933404O12Rik
4933407K13Rik
4933408B17Rik
4933408J17Rik
4933411K20Rik
4933416M07Rik
4933417D19Rik
4933421O10Rik
4933424M12Rik
4933426D04Rik
4933426M11Rik
4933427D14Rik
4933427G17Rik
4933431E20Rik
4933434E20Rik
4933436C20Rik
4933437N03Rik
4933439C10Rik
4933439K11Rik
4933440M02Rik
4933440N22Rik
5031414D18Rik
5031425E22Rik
5031434O11Rik
5031439G07Rik
5033411D12Rik
5330413P13Rik
5330417C22Rik
5330426P16Rik
5430402O13Rik
5430403G16Rik
5430405H02Rik
5430416N02Rik
5430416O09Rik
5430417L22Rik
5430421N21Rik
5430427O19Rik
5430435G22Rik
5530601H04Rik
5730405O15Rik
5730409E04Rik
5730422E09Rik
5730455P16Rik
5730508B09Rik
5730559C18Rik
5730577I03Rik
5830403L16Rik
5830415F09Rik
5830416P10Rik
5830418K08Rik
5830428H23Rik
5830432E09Rik
5830444B04Rik
5830454E08Rik
5830462I19Rik
5830473C10Rik
6030419C18Rik
6030442K20Rik
6030458C11Rik
6230400D17Rik
6330403K07Rik
6330403L08Rik
6330408A02Rik
6330416G13Rik
6330418K02Rik
6330419J24Rik
6330562C20Rik
6430531B16Rik
6430548M08Rik
6430550D23Rik
6430562O15Rik
6430573F11Rik
6430590A07Rik
6530402F18Rik
6720401G13Rik
6720427I07Rik
6820408C15Rik
